acronym,id,name,structure_id_path,parent_structure_id
VI,653.0,Abducens nucleus,/997/8/343/1065/354/370/653/,370.0
ACVII,576.0,Accessory facial motor nucleus,/997/8/343/1065/354/370/576/,370.0
AOB,151.0,Accessory olfactory bulb,/997/8/567/688/695/698/151/,698.0
AOBgl,188.0,"Accessory olfactory bulb, glomerular layer",/997/8/567/688/695/698/151/188/,151.0
AOBgr,196.0,"Accessory olfactory bulb, granular layer",/997/8/567/688/695/698/151/196/,151.0
AOBmi,204.0,"Accessory olfactory bulb, mitral layer",/997/8/567/688/695/698/151/204/,151.0
ASO,332.0,Accessory supraoptic group,/997/8/343/1129/1097/157/332/,157.0
Acs5,549009219.0,Accessory trigeminal nucleus,/997/8/343/1065/771/987/549009219/,987.0
AI,95.0,Agranular insular area,/997/8/567/688/695/315/95/,315.0
AId,104.0,"Agranular insular area, dorsal part",/997/8/567/688/695/315/95/104/,95.0
AId1,996.0,"Agranular insular area, dorsal part, layer 1",/997/8/567/688/695/315/95/104/996/,104.0
AId2/3,328.0,"Agranular insular area, dorsal part, layer 2/3",/997/8/567/688/695/315/95/104/328/,104.0
AId5,1101.0,"Agranular insular area, dorsal part, layer 5",/997/8/567/688/695/315/95/104/1101/,104.0
AId6a,783.0,"Agranular insular area, dorsal part, layer 6a",/997/8/567/688/695/315/95/104/783/,104.0
AId6b,831.0,"Agranular insular area, dorsal part, layer 6b",/997/8/567/688/695/315/95/104/831/,104.0
AIp,111.0,"Agranular insular area, posterior part",/997/8/567/688/695/315/95/111/,95.0
AIp1,120.0,"Agranular insular area, posterior part, layer 1",/997/8/567/688/695/315/95/111/120/,111.0
AIp2/3,163.0,"Agranular insular area, posterior part, layer 2/3",/997/8/567/688/695/315/95/111/163/,111.0
AIp5,344.0,"Agranular insular area, posterior part, layer 5",/997/8/567/688/695/315/95/111/344/,111.0
AIp6a,314.0,"Agranular insular area, posterior part, layer 6a",/997/8/567/688/695/315/95/111/314/,111.0
AIp6b,355.0,"Agranular insular area, posterior part, layer 6b",/997/8/567/688/695/315/95/111/355/,111.0
AIv,119.0,"Agranular insular area, ventral part",/997/8/567/688/695/315/95/119/,95.0
AIv1,704.0,"Agranular insular area, ventral part, layer 1",/997/8/567/688/695/315/95/119/704/,119.0
AIv2/3,694.0,"Agranular insular area, ventral part, layer 2/3",/997/8/567/688/695/315/95/119/694/,119.0
AIv5,800.0,"Agranular insular area, ventral part, layer 5",/997/8/567/688/695/315/95/119/800/,119.0
AIv6a,675.0,"Agranular insular area, ventral part, layer 6a",/997/8/567/688/695/315/95/119/675/,119.0
AIv6b,699.0,"Agranular insular area, ventral part, layer 6b",/997/8/567/688/695/315/95/119/699/,119.0
CA,375.0,Ammon's horn,/997/8/567/688/695/1089/1080/375/,1080.0
AN,1017.0,Ansiform lobule,/997/8/512/528/1073/1017/,1073.0
AAA,23.0,Anterior amygdalar area,/997/8/567/623/477/278/23/,278.0
VISa,312782546.0,Anterior area,/997/8/567/688/695/315/22/312782546/,22.0
VISa1,312782550.0,"Anterior area, layer 1",/997/8/567/688/695/315/22/312782546/312782550/,312782546.0
VISa2/3,312782554.0,"Anterior area, layer 2/3",/997/8/567/688/695/315/22/312782546/312782554/,312782546.0
VISa4,312782558.0,"Anterior area, layer 4",/997/8/567/688/695/315/22/312782546/312782558/,312782546.0
VISa5,312782562.0,"Anterior area, layer 5",/997/8/567/688/695/315/22/312782546/312782562/,312782546.0
VISa6a,312782566.0,"Anterior area, layer 6a",/997/8/567/688/695/315/22/312782546/312782566/,312782546.0
VISa6b,312782570.0,"Anterior area, layer 6b",/997/8/567/688/695/315/22/312782546/312782570/,312782546.0
ACA,31.0,Anterior cingulate area,/997/8/567/688/695/315/31/,315.0
ACAd,39.0,"Anterior cingulate area, dorsal part",/997/8/567/688/695/315/31/39/,31.0
ACAd1,935.0,"Anterior cingulate area, dorsal part, layer 1",/997/8/567/688/695/315/31/39/935/,39.0
ACAd2/3,211.0,"Anterior cingulate area, dorsal part, layer 2/3",/997/8/567/688/695/315/31/39/211/,39.0
ACAd5,1015.0,"Anterior cingulate area, dorsal part, layer 5",/997/8/567/688/695/315/31/39/1015/,39.0
ACAd6a,919.0,"Anterior cingulate area, dorsal part, layer 6a",/997/8/567/688/695/315/31/39/919/,39.0
ACAd6b,927.0,"Anterior cingulate area, dorsal part, layer 6b",/997/8/567/688/695/315/31/39/927/,39.0
ACAv,48.0,"Anterior cingulate area, ventral part",/997/8/567/688/695/315/31/48/,31.0
ACAv6a,810.0,"Anterior cingulate area, ventral part, 6a",/997/8/567/688/695/315/31/48/810/,48.0
ACAv6b,819.0,"Anterior cingulate area, ventral part, 6b",/997/8/567/688/695/315/31/48/819/,48.0
ACAv1,588.0,"Anterior cingulate area, ventral part, layer 1",/997/8/567/688/695/315/31/48/588/,48.0
ACAv2/3,296.0,"Anterior cingulate area, ventral part, layer 2/3",/997/8/567/688/695/315/31/48/296/,48.0
ACAv5,772.0,"Anterior cingulate area, ventral part, layer 5",/997/8/567/688/695/315/31/48/772/,48.0
ATN,239.0,Anterior group of the dorsal thalamus,/997/8/343/1129/549/856/239/,856.0
AHN,88.0,Anterior hypothalamic nucleus,/997/8/343/1129/1097/467/88/,467.0
AON,159.0,Anterior olfactory nucleus,/997/8/567/688/695/698/159/,698.0
APN,215.0,Anterior pretectal nucleus,/997/8/343/313/323/1100/215/,1100.0
AT,231.0,Anterior tegmental nucleus,/997/8/343/313/323/231/,323.0
AD,64.0,Anterodorsal nucleus,/997/8/343/1129/549/856/239/64/,239.0
ADP,72.0,Anterodorsal preoptic nucleus,/997/8/343/1129/1097/141/72/,141.0
VISal,402.0,Anterolateral visual area,/997/8/567/688/695/315/669/402/,669.0
VISal1,1074.0,"Anterolateral visual area, layer 1",/997/8/567/688/695/315/669/402/1074/,402.0
VISal2/3,905.0,"Anterolateral visual area, layer 2/3",/997/8/567/688/695/315/669/402/905/,402.0
VISal4,1114.0,"Anterolateral visual area, layer 4",/997/8/567/688/695/315/669/402/1114/,402.0
VISal5,233.0,"Anterolateral visual area, layer 5",/997/8/567/688/695/315/669/402/233/,402.0
VISal6a,601.0,"Anterolateral visual area, layer 6a",/997/8/567/688/695/315/669/402/601/,402.0
VISal6b,649.0,"Anterolateral visual area, layer 6b",/997/8/567/688/695/315/669/402/649/,402.0
AM,127.0,Anteromedial nucleus,/997/8/343/1129/549/856/239/127/,239.0
AMd,1096.0,"Anteromedial nucleus, dorsal part",/997/8/343/1129/549/856/239/127/1096/,127.0
AMv,1104.0,"Anteromedial nucleus, ventral part",/997/8/343/1129/549/856/239/127/1104/,127.0
VISam,394.0,Anteromedial visual area,/997/8/567/688/695/315/669/394/,669.0
VISam1,281.0,"Anteromedial visual area, layer 1",/997/8/567/688/695/315/669/394/281/,394.0
VISam2/3,1066.0,"Anteromedial visual area, layer 2/3",/997/8/567/688/695/315/669/394/1066/,394.0
VISam4,401.0,"Anteromedial visual area, layer 4",/997/8/567/688/695/315/669/394/401/,394.0
VISam5,433.0,"Anteromedial visual area, layer 5",/997/8/567/688/695/315/669/394/433/,394.0
VISam6a,1046.0,"Anteromedial visual area, layer 6a",/997/8/567/688/695/315/669/394/1046/,394.0
VISam6b,441.0,"Anteromedial visual area, layer 6b",/997/8/567/688/695/315/669/394/441/,394.0
AV,255.0,Anteroventral nucleus of thalamus,/997/8/343/1129/549/856/239/255/,239.0
AVPV,272.0,Anteroventral periventricular nucleus,/997/8/343/1129/1097/141/272/,141.0
AVP,263.0,Anteroventral preoptic nucleus,/997/8/343/1129/1097/141/263/,141.0
ARH,223.0,Arcuate hypothalamic nucleus,/997/8/343/1129/1097/157/223/,157.0
AP,207.0,Area postrema,/997/8/343/1065/354/386/207/,386.0
APr,484682508.0,Area prostriata,/997/8/567/688/695/1089/822/484682508/,822.0
AUD,247.0,Auditory areas,/997/8/567/688/695/315/247/,315.0
B,280.0,Barrington's nucleus,/997/8/343/1065/771/987/280/,987.0
grey,8.0,Basic cell groups and regions,/997/8/,997.0
BLA,295.0,Basolateral amygdalar nucleus,/997/8/567/688/703/295/,703.0
BLAa,303.0,"Basolateral amygdalar nucleus, anterior part",/997/8/567/688/703/295/303/,295.0
BLAp,311.0,"Basolateral amygdalar nucleus, posterior part",/997/8/567/688/703/295/311/,295.0
BLAv,451.0,"Basolateral amygdalar nucleus, ventral part",/997/8/567/688/703/295/451/,295.0
BMA,319.0,Basomedial amygdalar nucleus,/997/8/567/688/703/319/,703.0
BMAa,327.0,"Basomedial amygdalar nucleus, anterior part",/997/8/567/688/703/319/327/,319.0
BMAp,334.0,"Basomedial amygdalar nucleus, posterior part",/997/8/567/688/703/319/334/,319.0
BST,351.0,Bed nuclei of the stria terminalis,/997/8/567/623/803/809/351/,809.0
BA,292.0,Bed nucleus of the accessory olfactory tract,/997/8/567/623/477/278/292/,278.0
BAC,287.0,Bed nucleus of the anterior commissure,/997/8/567/623/803/809/287/,809.0
BS,343.0,Brain stem,/997/8/343/,8.0
