coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
10,1908,3017,1246,488,695,External cuneate nucleus,left
10,1927,3105,1245,491,714,External cuneate nucleus,left
10,1973,2832,1247,503,651,Parasolitary nucleus,left
10,2035,1922,1249,515,458,Cuneate nucleus,right
10,2409,1761,1235,609,425,Parvicellular reticular nucleus,right
10,2576,2463,1237,648,572,Nucleus raphe obscurus,left
10,1894,3037,1246,485,700,External cuneate nucleus,left
10,1986,2894,1247,505,666,Cuneate nucleus,left
10,2014,2884,1246,512,663,Parasolitary nucleus,left
10,2045,1955,1249,518,465,Parasolitary nucleus,right
10,2460,2253,1240,621,531,"Medullary reticular nucleus, ventral part",right
10,2874,1936,1228,721,455,"Lateral reticular nucleus, magnocellular part",right
10,2935,2951,1227,729,673,Medulla,left
10,2129,3309,1240,541,755,"Spinal nucleus of the trigeminal, interpolar part",left
15,1911,3079,1243,488,709,External cuneate nucleus,left
15,1933,3143,1242,493,722,External cuneate nucleus,left
15,2824,3103,1224,707,707,"Lateral reticular nucleus, magnocellular part",left
15,2342,1961,1235,591,467,Parvicellular reticular nucleus,right
15,2344,2324,1241,593,544,Nucleus of Roller,right
15,2721,1977,1228,685,467,"Lateral reticular nucleus, magnocellular part",right
15,2144,3131,1237,542,714,"Spinal nucleus of the trigeminal, interpolar part",left
11,1883,2998,1245,482,693,External cuneate nucleus,left
11,2591,2475,1236,652,573,crossed tectospinal pathway,left
11,1926,2046,1251,490,484,Cuneate nucleus,right
11,2035,1460,1254,514,357,Medulla,right
11,2134,3326,1239,542,758,"Spinal nucleus of the trigeminal, interpolar part",left
11,2270,3208,1236,574,731,"Spinal nucleus of the trigeminal, interpolar part",left
11,2573,3205,1231,647,730,Parvicellular reticular nucleus,left
11,2911,2825,1228,723,645,Medulla,left
11,2376,1631,1236,601,399,Parvicellular reticular nucleus,right
11,2769,3080,1227,694,701,"Lateral reticular nucleus, magnocellular part",left
12,2745,3099,1227,689,706,Intermediate reticular nucleus,left
12,1989,1892,1251,505,451,Cuneate nucleus,right
12,2359,3097,1234,596,704,Parvicellular reticular nucleus,left
12,2588,2986,1230,652,678,Intermediate reticular nucleus,left
12,2780,2864,1229,694,651,Medulla,left
12,2065,1999,1247,522,474,Nucleus of the solitary tract,right
13,1864,3056,1245,478,705,External cuneate nucleus,left
13,2769,3224,1229,694,736,"Lateral reticular nucleus, magnocellular part",left
13,1949,2900,1246,497,668,Cuneate nucleus,left
13,1981,2963,1245,503,681,Cuneate nucleus,left
13,2045,2986,1243,518,684,Medulla,left
13,2076,1786,1248,526,429,"Spinal nucleus of the trigeminal, interpolar part",right
13,2452,1741,1233,618,420,Parvicellular reticular nucleus,right
13,2705,3075,1228,680,700,Medulla,left
13,2021,2965,1244,513,680,Cuneate nucleus,left
13,2517,3159,1231,633,719,Parvicellular reticular nucleus,left
14,2119,1929,1244,536,460,Nucleus of the solitary tract,right
14,1990,2927,1244,506,672,Cuneate nucleus,left
14,2682,3251,1229,672,741,Parvicellular reticular nucleus,left
14,2839,2559,1229,707,586,Inferior olivary complex,left
14,2895,2892,1227,720,659,Medulla,left
14,2908,3132,1225,725,715,Medulla,left
16,1970,2829,1244,502,651,Parasolitary nucleus,left
16,2463,2093,1234,622,497,Intermediate reticular nucleus,right
16,2015,3018,1242,511,693,Cuneate nucleus,left
17,2662,2063,1229,669,488,"Lateral reticular nucleus, magnocellular part",right
17,2760,2920,1227,690,663,"Lateral reticular nucleus, magnocellular part",left
17,1880,2949,1244,481,682,External cuneate nucleus,left
17,1985,2931,1243,505,673,Cuneate nucleus,left
17,1992,2873,1244,506,661,Parasolitary nucleus,left
17,2013,2902,1243,512,666,Parasolitary nucleus,left
17,2723,2515,1230,681,578,Inferior olivary complex,left
17,2723,2525,1231,681,580,Inferior olivary complex,left
17,1857,3170,1243,477,730,External cuneate nucleus,left
17,1923,2041,1249,490,483,Cuneate nucleus,right
17,2012,3013,1242,510,692,Cuneate nucleus,left
17,2065,1668,1249,524,404,"Spinal nucleus of the trigeminal, interpolar part",right
17,2329,1660,1235,590,406,"Spinal nucleus of the trigeminal, interpolar part",right
19,2757,3259,1225,690,744,"Lateral reticular nucleus, magnocellular part",left
19,1854,3093,1242,476,714,External cuneate nucleus,left
19,2169,1870,1239,548,448,Medulla,right
19,2806,3111,1223,703,708,"Lateral reticular nucleus, magnocellular part",left
19,2040,2923,1240,517,671,Parasolitary nucleus,left
18,2806,2490,1227,699,571,Nucleus raphe pallidus,left
18,2742,2059,1227,688,485,"Lateral reticular nucleus, magnocellular part",right
18,1839,2985,1243,473,691,External cuneate nucleus,left
18,2575,3217,1228,647,732,Parvicellular reticular nucleus,left
18,2686,3256,1227,673,742,Parvicellular reticular nucleus,left
18,2699,3173,1225,678,723,"Lateral reticular nucleus, magnocellular part",left
18,2804,2543,1228,698,583,Inferior olivary complex,left
18,2816,2550,1228,701,584,Inferior olivary complex,left
18,1962,2972,1242,499,683,Cuneate nucleus,left
18,1974,2122,1247,501,499,Parasolitary nucleus,right
18,1997,1920,1247,505,458,Cuneate nucleus,right
20,2768,3220,1224,694,734,"Lateral reticular nucleus, magnocellular part",left
20,2681,2517,1230,671,579,Inferior olivary complex,left
20,2745,3280,1226,688,748,"Lateral reticular nucleus, magnocellular part",left
20,2882,2822,1225,716,643,Medulla,left
20,1945,1931,1248,493,460,Cuneate nucleus,right
20,2304,3256,1231,582,740,"Spinal nucleus of the trigeminal, interpolar part",left
20,2375,2241,1237,600,527,"Medullary reticular nucleus, ventral part",right
20,2386,1735,1230,602,420,Parvicellular reticular nucleus,right
20,2766,2103,1225,692,494,Medulla,right
20,2841,2806,1225,707,639,Medulla,left
20,2880,2708,1226,715,619,Inferior olivary complex,left
21,2236,3324,1233,566,757,"Spinal nucleus of the trigeminal, interpolar part",left
21,2586,2479,1232,650,574,crossed tectospinal pathway,left
21,2669,2118,1228,670,500,Gigantocellular reticular nucleus,right
21,2689,1895,1226,679,449,Intermediate reticular nucleus,right
21,2701,2524,1229,675,580,Inferior olivary complex,left
21,1979,2901,1242,503,666,Cuneate nucleus,left
21,1990,2962,1241,505,680,Cuneate nucleus,left
21,2033,2931,1240,516,672,Parasolitary nucleus,left
21,2217,1868,1237,559,448,Parvicellular reticular nucleus,right
21,2732,2521,1229,682,579,Inferior olivary complex,left
21,2838,3029,1223,709,689,"Lateral reticular nucleus, magnocellular part",left
21,2946,2935,1223,731,669,Medulla,left
21,1944,2054,1246,494,486,Cuneate nucleus,right
21,1957,2112,1246,496,497,Parasolitary nucleus,right
21,1965,2011,1246,498,476,Cuneate nucleus,right
