coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
108,2461,2848,1315,537,553,Gracile nucleus,right
113,2555,2897,1314,567,564,Dorsal motor nucleus of the vagus nerve,right
115,2421,2848,1311,524,553,Gracile nucleus,right
115,2549,2813,1313,568,547,Dorsal motor nucleus of the vagus nerve,right
115,2560,2833,1313,570,552,Dorsal motor nucleus of the vagus nerve,right
115,2572,2874,1312,572,560,Dorsal motor nucleus of the vagus nerve,right
115,2511,2849,1312,553,554,Nucleus of the solitary tract,right
114,2499,2828,1313,550,550,Nucleus of the solitary tract,right
116,2444,2822,1312,532,547,Gracile nucleus,right
117,2529,2762,1315,562,535,Cuneate nucleus,right
117,2534,2802,1314,563,544,Medulla,right
117,2460,2833,1312,536,550,Gracile nucleus,right
120,2534,2801,1312,562,544,Medulla,right
126,1754,2479,1313,383,468,Pyramus (VIII),right
126,2909,3031,1308,661,594,Medulla,left
122,2347,3525,1312,510,716,"Spinal nucleus of the trigeminal, caudal part",left
122,2475,2804,1309,541,544,Nucleus of the solitary tract,right
122,2491,2809,1309,546,545,Nucleus of the solitary tract,right
122,2599,2728,1316,587,530,Medulla,right
121,2460,2831,1310,536,549,Gracile nucleus,right
121,2462,2772,1311,537,536,Cuneate nucleus,right
121,2476,2830,1310,541,550,Gracile nucleus,right
121,2534,2800,1312,562,544,Medulla,right
124,2461,2802,1308,536,543,Gracile nucleus,right
124,2472,2777,1309,540,537,Cuneate nucleus,right
123,2558,2787,1311,571,541,Medulla,right
123,2991,3078,1309,677,607,"Medullary reticular nucleus, ventral part",left
130,2471,2796,1306,538,542,Nucleus of the solitary tract,right
132,2510,2868,1303,549,559,Nucleus of the solitary tract,right
136,2503,2771,1304,550,537,Nucleus of the solitary tract,right
139,2454,2827,1300,531,548,Gracile nucleus,right
139,2477,2964,1298,534,579,Nucleus of the solitary tract,left
139,2401,2845,1299,514,552,Gracile nucleus,right
138,2502,2831,1301,546,550,Nucleus of the solitary tract,right
140,1604,2578,1315,344,491,Pyramus (VIII),right
137,2534,2716,1308,561,526,Cuneate nucleus,right
141,2407,2837,1299,516,550,Gracile nucleus,right
142,2487,2716,1303,542,525,Cuneate nucleus,right
144,2692,2867,1299,609,561,Medulla,right
143,2476,2815,1298,537,547,Nucleus of the solitary tract,right
143,1600,2584,1314,343,492,Pyramus (VIII),right
147,2444,2760,1297,528,534,Gracile nucleus,right
147,2444,2833,1296,527,550,Gracile nucleus,right
147,2846,3037,1295,640,593,"Medullary reticular nucleus, ventral part",left
145,2425,2744,1299,522,530,Gracile nucleus,right
145,2456,2781,1299,531,539,Gracile nucleus,right
146,2478,2829,1297,538,550,Nucleus of the solitary tract,right
146,2541,2551,1315,561,488,"Medullary reticular nucleus, dorsal part",right
148,2443,2855,1295,526,555,Gracile nucleus,right
148,2593,2657,1310,581,515,"Medullary reticular nucleus, dorsal part",right
149,2628,2696,1308,594,525,Intermediate reticular nucleus,right
155,2470,2719,1296,535,526,Nucleus of the solitary tract,right
155,3004,3243,1297,665,646,"Medullary reticular nucleus, ventral part",left
154,2574,3125,1293,555,613,Nucleus of the solitary tract,left
154,2672,2748,1301,606,539,"Medullary reticular nucleus, ventral part",right
154,1620,2585,1309,347,493,Pyramus (VIII),right
157,2590,2591,1311,578,500,"Medullary reticular nucleus, dorsal part",right
156,2847,2859,1295,653,562,pyramidal decussation,right
158,2957,2776,1301,687,544,Medulla,right
161,2441,2751,1292,524,532,Gracile nucleus,right
160,2582,3241,1289,554,639,Medulla,left
160,2599,2569,1311,581,496,"Medullary reticular nucleus, dorsal part",right
162,2904,3188,1290,640,628,"Medullary reticular nucleus, ventral part",left
162,2165,3284,1287,460,663,Uvula (IX),left
163,2588,2539,1311,576,489,"Medullary reticular nucleus, dorsal part",right
165,2588,2691,1299,576,523,"Medullary reticular nucleus, dorsal part",right
166,2804,3302,1288,610,653,Intermediate reticular nucleus,left
166,2140,3095,1283,451,615,Uvula (IX),left
172,1624,2583,1303,346,494,Pyramus (VIII),right
171,1877,2238,1309,416,409,Copula pyramidis,right
173,3134,3276,1294,694,658,"Medullary reticular nucleus, ventral part",left
178,2509,2611,1293,545,503,Cuneate nucleus,right
182,2922,3037,1278,651,595,Medulla,left
182,2868,3249,1280,626,641,"Medullary reticular nucleus, ventral part",left
184,1870,3667,1301,414,747,Copula pyramidis,left
185,2405,3101,1278,512,611,Nucleus of the solitary tract,left
185,2528,3299,1277,542,655,Medulla,left
185,2563,2562,1297,563,493,"Medullary reticular nucleus, dorsal part",right
186,2998,3627,1290,654,728,"Spinal nucleus of the trigeminal, caudal part",left
187,2441,3150,1277,520,621,Nucleus of the solitary tract,left
188,1791,2300,1302,390,427,Copula pyramidis,right
189,2003,3073,1280,415,611,Uvula (IX),left
189,1766,2846,1283,367,555,Pyramus (VIII),right
189,2654,2530,1306,595,490,"Medullary reticular nucleus, dorsal part",right
189,2937,3038,1276,652,596,Medulla,left
190,2856,3351,1279,619,665,Intermediate reticular nucleus,left
190,2585,2781,1280,569,542,Hypoglossal nucleus,right
190,2918,3673,1284,633,738,"Spinal nucleus of the trigeminal, caudal part",left
190,2936,3037,1275,652,595,Medulla,left
191,2578,2554,1295,567,493,"Medullary reticular nucleus, dorsal part",right
195,2528,2588,1286,549,499,Medulla,right
192,3128,2593,1294,733,498,Medulla,right
193,2529,2535,1291,550,487,Medulla,right
193,2771,3830,1275,598,773,"Spinal nucleus of the trigeminal, caudal part",left
193,2837,2937,1275,636,575,Medulla,left
194,2540,2572,1289,553,495,Medulla,right
196,1962,2376,1290,419,446,Copula pyramidis,right
198,1959,2375,1289,418,446,Copula pyramidis,right
198,2513,2621,1283,544,505,Nucleus of the solitary tract,right
203,2515,2623,1280,544,507,Nucleus of the solitary tract,right
203,1829,2403,1289,389,456,Copula pyramidis,right
203,1544,2847,1291,323,556,Pyramus (VIII),right
201,2517,2616,1282,544,504,Nucleus of the solitary tract,right
204,2579,2709,1278,566,527,Hypoglossal nucleus,right
205,2583,2502,1293,567,481,"Medullary reticular nucleus, dorsal part",right
209,1930,2366,1288,412,445,Copula pyramidis,right
209,2521,2483,1284,545,476,Medulla,right
208,2581,2501,1290,565,481,"Medullary reticular nucleus, dorsal part",right
211,2574,2681,1277,563,520,Medulla,right
211,2501,3000,1267,536,587,Dorsal motor nucleus of the vagus nerve,left
210,2480,3519,1266,535,703,"Spinal nucleus of the trigeminal, caudal part",left
210,2516,2527,1281,543,485,Medulla,right
213,2584,3534,1262,559,706,"Medullary reticular nucleus, dorsal part",left
213,3042,3248,1272,664,647,"Medullary reticular nucleus, ventral part",left
220,2562,3234,1262,549,639,Nucleus of the solitary tract,left
218,2512,2554,1275,540,492,Medulla,right
218,2381,2645,1266,505,508,Cuneate nucleus,right
218,2479,3267,1263,531,647,Nucleus of the solitary tract,left
221,2555,2468,1282,555,474,"Medullary reticular nucleus, dorsal part",right
225,3304,3144,1260,733,632,Medulla,left
225,3338,3301,1266,742,668,Medulla,left
