coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
154,2666,2245,1273,707,530,Medulla,right
161,2735,2112,1273,735,564,Medulla,right
164,2573,2158,1269,686,554,Inferior olivary complex,right
173,2672,2139,1268,713,559,Medulla,right
172,2560,2130,1267,683,562,Inferior olivary complex,right
172,2697,2140,1268,720,559,Medulla,right
178,2674,2204,1263,709,543,Medulla,right
178,2666,2104,1266,712,569,Nucleus raphe pallidus,right
178,2675,2141,1265,713,558,Medulla,right
178,2675,2185,1264,711,548,Medulla,right
177,2720,2288,1263,716,519,Inferior olivary complex,right
177,2677,2172,1265,712,550,Medulla,right
180,2676,2293,1261,702,520,Medulla,right
180,2666,2160,1264,709,555,Medulla,right
180,2687,2125,1265,716,563,Medulla,right
181,2712,2133,1264,723,561,Medulla,right
186,2654,2196,1260,703,545,Inferior olivary complex,right
186,2745,2087,1262,733,573,Nucleus raphe pallidus,left
183,2693,2207,1261,713,541,Medulla,right
183,2634,2147,1262,701,558,Inferior olivary complex,right
182,2656,2185,1262,704,549,Medulla,right
185,2693,2144,1262,717,558,Medulla,right
185,2687,2129,1263,715,562,Medulla,right
185,2690,2168,1261,714,552,Medulla,right
187,2665,2169,1260,707,553,Inferior olivary complex,right
187,2646,2161,1260,702,554,Inferior olivary complex,right
189,2673,2203,1259,707,544,Medulla,right
189,2634,2139,1260,701,561,Inferior olivary complex,right
192,2703,2204,1257,714,543,Medulla,right
192,2627,2185,1257,695,550,Inferior olivary complex,right
192,2622,2171,1257,695,553,Inferior olivary complex,right
191,2716,2169,1258,719,552,Medulla,right
191,2726,2164,1258,722,553,Medulla,right
193,2646,2198,1257,699,546,Inferior olivary complex,right
193,2657,2216,1257,700,541,Inferior olivary complex,right
194,2689,2174,1257,712,552,Medulla,right
194,2680,2135,1258,712,562,Inferior olivary complex,right
194,2696,2205,1256,711,544,Medulla,right
196,2626,2186,1255,694,549,Inferior olivary complex,right
197,2685,2192,1255,709,547,Medulla,right
201,2662,2170,1254,703,554,Inferior olivary complex,right
201,2698,2196,1253,712,545,Medulla,right
199,2672,2199,1253,704,546,Inferior olivary complex,right
203,2737,2150,1252,723,558,Medulla,right
203,2677,2196,1251,705,546,Inferior olivary complex,right
204,2684,2187,1252,708,549,Inferior olivary complex,right
204,2674,2173,1252,706,553,Inferior olivary complex,right
202,2708,2185,1253,715,549,Medulla,right
202,2706,2141,1254,716,560,Inferior olivary complex,right
200,2688,2199,1253,709,546,Inferior olivary complex,right
205,2682,2153,1253,708,558,Inferior olivary complex,right
206,2699,2187,1251,711,549,Inferior olivary complex,right
207,2649,2189,1250,698,550,Inferior olivary complex,right
207,2650,2208,1249,697,545,Inferior olivary complex,right
207,2675,2227,1249,702,539,Inferior olivary complex,right
208,2664,2187,1250,702,550,Inferior olivary complex,right
208,2725,2193,1250,717,547,Medulla,right
209,2706,2196,1250,711,546,Inferior olivary complex,right
218,2753,2286,1243,717,522,Inferior olivary complex,right
219,2758,2271,1242,719,526,Medulla,right
219,2684,2161,1245,706,556,Inferior olivary complex,right
220,1234,3039,1286,388,362,Paramedian lobule,right
226,2736,2165,1242,717,556,Medulla,right
226,2746,2179,1241,718,552,Medulla,right
228,2698,2191,1240,706,549,Inferior olivary complex,right
231,2697,2172,1239,705,555,Inferior olivary complex,right
233,1281,3039,1277,396,363,Paramedian lobule,right
234,2673,2110,1240,703,571,Nucleus raphe pallidus,left
242,2709,2166,1234,707,556,Inferior olivary complex,right
242,2798,2386,1231,725,500,Inferior olivary complex,right
