coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
23,1912,2600,1313,471,530,Uvula (IX),right
27,1911,2634,1313,471,520,Uvula (IX),right
29,1888,2672,1315,468,511,Uvula (IX),right
37,1917,2559,1306,470,539,Uvula (IX),right
41,1856,2606,1308,458,528,Uvula (IX),right
40,1666,2538,1312,414,547,Uvula (IX),right
42,1924,2554,1303,472,541,Uvula (IX),right
44,1933,2584,1304,474,533,Uvula (IX),right
45,1901,2649,1307,468,517,Uvula (IX),right
47,1839,2606,1305,454,528,Uvula (IX),right
52,1889,2625,1303,466,523,Uvula (IX),right
52,1696,2451,1304,419,567,Uvula (IX),right
58,1671,2601,1306,415,532,Uvula (IX),right
59,1644,2528,1304,408,550,Uvula (IX),right
59,1672,2601,1305,415,532,Uvula (IX),right
61,1496,2155,1314,377,635,Pyramus (VIII),left
62,1861,2572,1299,458,536,Uvula (IX),right
69,1829,2632,1300,452,523,Uvula (IX),right
69,1890,2623,1299,466,523,Uvula (IX),right
71,1373,2359,1314,351,587,Pyramus (VIII),left
70,1489,2062,1314,377,654,Pyramus (VIII),left
70,1532,2080,1311,386,651,Pyramus (VIII),left
76,1726,2505,1296,426,555,Uvula (IX),right
73,1856,2598,1298,458,530,Uvula (IX),right
73,1408,2363,1311,358,586,Pyramus (VIII),left
75,1402,2355,1310,356,588,Pyramus (VIII),left
75,1396,2326,1310,355,594,Pyramus (VIII),left
75,1725,2505,1296,426,555,Uvula (IX),right
74,1384,2091,1316,353,647,Pyramus (VIII),left
77,1443,2330,1307,366,594,Pyramus (VIII),left
81,1374,2665,1312,348,518,Pyramus (VIII),right
81,1480,2091,1308,374,646,Pyramus (VIII),left
78,1463,2296,1304,370,600,Pyramus (VIII),left
84,1328,2284,1311,340,603,Pyramus (VIII),left
84,1515,2173,1301,380,628,Pyramus (VIII),left
