coordinate_raw_axis_0,coordinate_raw_axis_1,coordinate_raw_axis_2,coordinate_atlas_axis_0,coordinate_atlas_axis_1,coordinate_atlas_axis_2,structure_name,hemisphere
11,2507,2249,1313,666,517,"Medullary reticular nucleus, ventral part",right
13,2640,2357,1316,701,493,Medulla,right
20,2297,1978,1313,614,591,"Medullary reticular nucleus, ventral part",left
20,2523,2408,1303,670,482,"Medullary reticular nucleus, ventral part",right
27,2565,2354,1304,679,494,"Medullary reticular nucleus, ventral part",right
28,2483,2439,1296,659,476,"Medullary reticular nucleus, ventral part",right
28,2164,2036,1316,580,578,Dorsal motor nucleus of the vagus nerve,left
29,2265,1994,1310,605,588,Medulla,left
33,2126,2060,1316,569,573,Medulla,left
32,2297,2052,1307,611,572,Medulla,left
35,2133,1919,1314,573,612,Medulla,left
37,2611,2378,1304,689,489,"Medullary reticular nucleus, ventral part",right
37,2357,2535,1283,628,456,"Medullary reticular nucleus, dorsal part",right
39,2128,2022,1312,570,584,Dorsal motor nucleus of the vagus nerve,left
39,2545,2371,1297,672,490,"Medullary reticular nucleus, ventral part",right
41,2123,2048,1312,568,577,Dorsal motor nucleus of the vagus nerve,left
41,2107,2060,1313,563,574,Dorsal motor nucleus of the vagus nerve,left
43,2552,2367,1296,673,491,"Medullary reticular nucleus, ventral part",right
43,2618,2352,1302,691,495,"Medullary reticular nucleus, ventral part",right
43,2108,1949,1313,566,605,Medulla,left
44,2116,2065,1310,565,573,Dorsal motor nucleus of the vagus nerve,left
44,2176,1843,1305,584,633,"Medullary reticular nucleus, dorsal part",left
45,2065,2239,1309,550,526,Cuneate nucleus,right
46,2036,2029,1316,547,584,Medulla,left
47,2098,1951,1311,562,604,Medulla,left
48,2039,2011,1315,548,588,Medulla,left
49,2096,2155,1307,559,549,Dorsal motor nucleus of the vagus nerve,right
49,2153,2008,1306,575,588,Dorsal motor nucleus of the vagus nerve,left
49,2034,2025,1316,547,586,Medulla,left
49,2040,2003,1316,548,591,Medulla,left
50,2550,2405,1293,673,484,"Medullary reticular nucleus, ventral part",right
53,2119,2012,1307,566,588,Dorsal motor nucleus of the vagus nerve,left
53,2603,1784,1313,697,642,"Medullary reticular nucleus, ventral part",left
55,2080,2046,1307,555,579,Nucleus of the solitary tract,left
55,2049,2025,1310,549,586,Nucleus of the solitary tract,left
55,2067,2037,1309,552,582,Nucleus of the solitary tract,left
58,2077,2023,1307,554,586,Nucleus of the solitary tract,left
58,2100,2000,1306,561,593,Dorsal motor nucleus of the vagus nerve,left
58,1975,1984,1315,533,598,Gracile nucleus,left
58,2060,2062,1307,550,575,Nucleus of the solitary tract,left
56,2082,1904,1309,557,619,Cuneate nucleus,left
57,2142,2185,1298,569,541,Medulla,right
57,1986,2002,1315,535,592,Gracile nucleus,left
59,2634,1780,1312,704,644,Medulla,left
60,2087,2008,1306,557,591,Nucleus of the solitary tract,left
61,2115,2015,1303,564,589,Dorsal motor nucleus of the vagus nerve,left
61,2002,2033,1312,537,584,Gracile nucleus,left
61,2016,2024,1311,541,587,Gracile nucleus,left
62,2059,1998,1307,551,594,Nucleus of the solitary tract,left
62,2092,2070,1303,557,574,Nucleus of the solitary tract,left
63,2504,2367,1286,660,492,"Medullary reticular nucleus, ventral part",right
64,2544,2384,1288,670,489,"Medullary reticular nucleus, ventral part",right
66,2603,1852,1307,694,625,"Medullary reticular nucleus, ventral part",left
66,1988,2016,1310,535,589,Gracile nucleus,left
66,2080,2037,1303,555,583,Nucleus of the solitary tract,left
66,2606,2350,1293,685,497,"Medullary reticular nucleus, ventral part",right
68,2057,2026,1304,549,586,Nucleus of the solitary tract,left
68,2601,1974,1305,691,593,Medulla,left
69,2062,2014,1304,550,590,Nucleus of the solitary tract,left
69,2072,2038,1302,552,583,Nucleus of the solitary tract,left
69,2045,2003,1305,547,593,Nucleus of the solitary tract,left
70,2027,2008,1306,542,592,Nucleus of the solitary tract,left
74,2410,1894,1288,640,618,"Medullary reticular nucleus, ventral part",left
74,2033,2101,1300,543,566,Nucleus of the solitary tract,right
74,2112,1973,1298,562,601,Dorsal motor nucleus of the vagus nerve,left
73,2493,1973,1295,661,595,Medulla,left
75,2009,1901,1306,539,622,Cuneate nucleus,left
75,2016,1997,1304,539,596,Nucleus of the solitary tract,left
76,2012,2003,1304,538,594,Nucleus of the solitary tract,left
76,2582,1782,1302,688,645,"Medullary reticular nucleus, ventral part",left
77,2032,1999,1303,543,596,Nucleus of the solitary tract,left
77,2027,2045,1302,541,583,Nucleus of the solitary tract,left
77,2044,2011,1301,546,591,Nucleus of the solitary tract,left
78,1920,2067,1306,521,576,Gracile nucleus,left
78,2059,2014,1299,549,591,Nucleus of the solitary tract,left
78,2434,1874,1287,647,624,"Medullary reticular nucleus, ventral part",left
79,2059,1995,1299,549,597,Nucleus of the solitary tract,left
79,2085,2221,1290,553,533,Dorsal motor nucleus of the vagus nerve,right
79,2009,1991,1303,538,597,Nucleus of the solitary tract,left
80,2007,1954,1304,537,609,Cuneate nucleus,left
80,2043,2114,1297,544,563,Nucleus of the solitary tract,right
81,2017,2012,1302,539,592,Nucleus of the solitary tract,left
81,2045,2190,1294,543,543,Nucleus of the solitary tract,right
82,2002,1969,1303,536,605,Cuneate nucleus,left
82,2591,1750,1301,692,655,"Medullary reticular nucleus, ventral part",left
84,2042,2128,1295,543,560,Nucleus of the solitary tract,right
83,2580,1770,1299,689,650,"Medullary reticular nucleus, ventral part",left
85,2030,1999,1299,542,596,Nucleus of the solitary tract,left
85,2064,2238,1290,547,530,Nucleus of the solitary tract,right
88,1983,1883,1302,533,628,Cuneate nucleus,left
88,1966,1993,1302,529,598,Gracile nucleus,left
88,2007,1975,1300,537,604,Nucleus of the solitary tract,left
86,2065,2226,1289,547,532,Nucleus of the solitary tract,right
89,2060,2213,1289,546,537,Nucleus of the solitary tract,right
91,1956,1981,1301,527,601,Gracile nucleus,left
91,1914,2027,1302,520,589,Gracile nucleus,left
90,1992,1937,1301,534,614,Cuneate nucleus,left
92,1949,2030,1300,526,589,Gracile nucleus,left
92,2480,1776,1286,662,649,"Medullary reticular nucleus, ventral part",left
95,1898,1939,1304,517,614,Gracile nucleus,left
95,2537,1763,1291,677,652,"Medullary reticular nucleus, ventral part",left
98,1986,1947,1298,532,611,Cuneate nucleus,left
98,1994,2034,1295,534,588,Nucleus of the solitary tract,left
98,2007,1804,1296,539,650,Cuneate nucleus,left
100,1939,1998,1299,524,598,Gracile nucleus,left
100,1947,2009,1298,525,595,Gracile nucleus,left
100,1981,1951,1297,531,610,Cuneate nucleus,left
99,2648,2481,1281,694,472,"Medullary reticular nucleus, ventral part",right
99,2008,1804,1295,540,650,Cuneate nucleus,left
101,2015,1799,1295,541,651,Cuneate nucleus,left
101,2261,2616,1262,602,444,"Medullary reticular nucleus, dorsal part",right
101,2583,2369,1279,679,496,"Medullary reticular nucleus, ventral part",right
102,2024,2241,1286,537,530,solitary tract,right
102,2001,1987,1295,535,600,Nucleus of the solitary tract,left
104,1972,1950,1297,529,612,Cuneate nucleus,left
104,2057,1935,1291,548,615,Nucleus of the solitary tract,left
105,2035,1803,1291,546,650,Medulla,left
106,1907,1943,1300,518,613,Gracile nucleus,left
106,1997,1916,1295,535,620,Cuneate nucleus,left
106,2350,1903,1276,625,618,"Medullary reticular nucleus, ventral part",left
106,2483,2693,1267,656,432,"Medullary reticular nucleus, dorsal part",right
106,2056,2349,1279,545,504,Nucleus of the solitary tract,right
106,1975,1981,1295,530,602,Nucleus of the solitary tract,left
109,1972,2000,1294,529,598,Gracile nucleus,left
109,1916,2080,1295,519,576,Area postrema,left
109,1559,2096,1309,462,565,Uvula (IX),right
107,1933,1772,1299,525,658,Cuneate nucleus,left
108,2195,2109,1276,583,565,Hypoglossal nucleus,right
111,2477,1721,1280,664,663,"Medullary reticular nucleus, ventral part",left
111,2414,2665,1261,640,439,"Medullary reticular nucleus, dorsal part",right
115,1848,1906,1300,509,623,Cuneate nucleus,left
115,2017,1953,1290,539,611,solitary tract,left
115,1883,2040,1295,515,587,Gracile nucleus,left
115,2028,1971,1288,542,605,Nucleus of the solitary tract,left
116,1957,1933,1294,527,616,Cuneate nucleus,left
116,1964,1893,1294,529,627,Cuneate nucleus,left
116,1980,2528,1277,533,463,Medulla,right
114,2002,2147,1286,534,557,Nucleus of the solitary tract,right
114,2024,1765,1289,545,660,Medulla,left
113,1967,1938,1295,529,615,Cuneate nucleus,left
119,1977,1993,1290,530,600,Nucleus of the solitary tract,left
119,1958,1978,1292,528,604,Nucleus of the solitary tract,left
119,2554,1853,1285,681,629,"Medullary reticular nucleus, ventral part",left
119,2591,1897,1288,689,617,Medulla,left
118,2491,1708,1280,668,667,"Medullary reticular nucleus, ventral part",left
121,1962,1913,1293,528,622,Cuneate nucleus,left
121,1983,2275,1282,529,524,Nucleus of the solitary tract,right
123,1966,1989,1290,529,602,Nucleus of the solitary tract,left
122,2003,1911,1289,537,621,Nucleus of the solitary tract,left
122,2023,2442,1273,540,483,Medulla,right
122,1958,1949,1292,528,612,Nucleus of the solitary tract,left
124,2441,1800,1275,653,644,"Medullary reticular nucleus, ventral part",left
125,1889,1936,1295,516,615,Gracile nucleus,left
125,2513,1758,1281,673,654,"Medullary reticular nucleus, ventral part",left
126,1956,1800,1292,529,651,Cuneate nucleus,left
126,2268,2019,1270,603,589,Medulla,left
126,2296,1974,1270,610,600,"Medullary reticular nucleus, ventral part",left
126,1993,2300,1279,531,519,solitary tract,right
126,1998,2388,1275,533,497,Cuneate nucleus,right
127,2282,1978,1270,606,599,"Medullary reticular nucleus, ventral part",left
130,1930,2033,1289,523,590,Nucleus of the solitary tract,left
130,2487,1808,1277,665,641,"Medullary reticular nucleus, ventral part",left
130,1995,1959,1287,535,610,Nucleus of the solitary tract,left
